"team_name","avg_squad_age"
"IRAN","33"
"TUNISIA","32"
"JAPAN","32"
"URUGUAY","32"
"BELGIUM","32"
"BRAZIL","32"
"MEXICO","32"
"ARGENTINA","32"
"NETHERLANDS","31"
"COSTA_RICA","31"
"QATAR","31"
"SAUDI_ARABIA","31"
"SOUTH_KOREA","31"
"AUSTRALIA","31"
"SWITZERLAND","31"
"DENMARK","31"
"POLAND","31"
"CROATIA","31"
"CANADA","31"
"SERBIA","30"
"MOROCCO","30"
"WALES","30"
"GERMANY","30"
"PORTUGAL","30"
"CAMAROON","30"
"SENEGAL","30"
"FRANCE","30"
"ENGLAND","30"
"SPAIN","29"
"USA","29"
"ECUADOR","29"
"GHANA","28"
